nodes,densidade,DLTS Clique (tempo medio),algoBitCliqueMaxPartite (tempo medio),DLTS Clique (nodes medio),algoBitCliqueMaxPartite (nodes medio),Dif medio
10,0.25,7.18e+00,2.48e-04,1.35e+01,1.38e+01,0.00
10,0.5,7.77e+00,2.82e-04,1.70e+01,1.71e+01,0.00
10,0.75,5.83e+00,3.37e-04,1.32e+01,2.53e+01,0.02
10,0.9,5.25e+00,3.72e-04,1.13e+01,3.58e+01,0.03
15,0.25,1.10e+01,2.91e-04,2.57e+01,1.96e+01,0.00
15,0.5,9.05e+00,4.18e-04,2.09e+01,2.95e+01,0.03
15,0.75,1.02e+01,6.03e-04,1.96e+01,4.40e+01,0.03
15,0.9,7.38e+00,7.55e-04,1.28e+01,6.68e+01,0.03
20,0.25,1.70e+01,3.91e-04,3.93e+01,2.61e+01,0.00
20,0.5,1.68e+01,7.07e-04,3.60e+01,3.47e+01,0.00
20,0.75,9.06e+00,1.31e-03,1.62e+01,6.50e+01,0.05
20,0.9,9.83e+00,1.42e-03,1.61e+01,9.67e+01,0.06
30,0.25,3.92e+01,1.10e-03,9.40e+01,4.00e+01,0.00
30,0.5,2.62e+01,1.60e-03,5.04e+01,5.74e+01,0.08
30,0.75,1.21e+01,2.39e-03,2.12e+01,1.04e+02,0.10
30,0.9,1.61e+01,2.74e-03,2.55e+01,1.74e+02,0.04
